"code_insee";"nom_standard";"reg_code";"reg_nom";"dep_code";"dep_nom";"code_postal";"population"
"01001";"L'Abergement-Clémenciat";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01400";806
"01002";"L'Abergement-de-Varey";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01640";262
"01004";"Ambérieu-en-Bugey";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01500";14288
"01005";"Ambérieux-en-Dombes";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01330";1782
"01006";"Ambléon";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01300";113
"01007";"Ambronay";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01500";2827
"01008";"Ambutrix";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01500";768
"01009";"Andert-et-Condon";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01300";324
"01010";"Anglefort";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01350";1101
"01011";"Apremont";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01100";368
"01012";"Aranc";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01110";327
"01013";"Arandas";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01230";143
"01014";"Arbent";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01100";3336
"01015";"Arboys en Bugey";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01300";663
"01016";"Arbigny";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01190";458
"01017";"Argis";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01230";445
"01019";"Armix";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01510";26
"01021";"Ars-sur-Formans";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01480";1490
"01022";"Artemare";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01510";1213
"01023";"Asnières-sur-Saône";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01570";76
"01024";"Attignat";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01340";3299
"01025";"Bâgé-Dommartin";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01380";4068
"01026";"Bâgé-le-Châtel";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01380";977
"01027";"Balan";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01360";2647
"01028";"Baneins";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01990";625
"01029";"Beaupont";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01270";683
"01030";"Beauregard";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01480";821
"01031";"Bellignat";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01100";3671
"01032";"Béligneux";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01360";3414
"01033";"Valserhône";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01200";16434
"01034";"Belley";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01300";9207
"01035";"Belleydoux";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01130";308
"01036";"Valromey-sur-Séran";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01260";1334
"01037";"Bénonces";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01470";309
"01038";"Bény";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01370";759
"01040";"Béréziat";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01340";480
"01041";"Bettant";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01500";748
"01042";"Bey";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01290";291
"01043";"Beynost";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01700";4829
"01044";"Billiat";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01200";628
"01045";"Birieux";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01330";285
"01046";"Biziat";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01290";912
"01047";"Blyes";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01150";1269
"01049";"La Boisse";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01120";3335
"01050";"Boissey";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01380";380
"01051";"Bolozon";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01450";91
"01052";"Bouligneux";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01330";332
"01053";"Bourg-en-Bresse";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01000";41681
"01054";"Bourg-Saint-Christophe";84;"Auvergne-Rhône-Alpes";"01";"Ain";"01800";1482
